Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
0	A1	amiga_processed_processed_compiled_autosave	1	0	0	0.078	0.078	0.078	1.248		0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	inf	inf	0.0	0.0	0.0	0.0	0.0	0.006083999999999996	FALSE
1	A2	amiga_processed_processed_compiled_autosave	1	0	0	0.08199999999999999	0.08199999999999999	0.605	4.529		0.08199999999999999	3.2191390263631443	15.40198964591523	0.5219464886645705	1.9965098934443757	0.0	0.0	0.3778985471465957	0.053037050400385165	1.8342149918111679	5.552578421702252	0.0	15.75	8.25	15.75	0.0	0.006736445504713256	FALSE
2	A3	amiga_processed_processed_compiled_autosave	1	0	0	0.083	0.083	0.585	3.9597500000000005		0.083	2.634760006011902	12.821038277787542	0.5007637041689632	1.9503205113263749	0.0	0.0	0.4440551521765751	0.03741635491629772	1.5609484028333505	7.2229816858832105	0.0	15.75	9.5	15.75	0.0	0.006891530000987463	FALSE
3	A4	amiga_processed_processed_compiled_autosave	1	0	0	0.08199999999999999	0.08199999999999999	0.632	5.715		0.08199999999999999	4.404180226795489	19.365833005593032	0.5473946734202365	2.0379115981821427	0.012142078638731402	0.01948270135562158	0.43412228206945136	-0.03613398864762669	1.5966634498826642	3.8380916034384773	0.0	14.5	6.25	15.75	1.0	0.006727630426485631	FALSE
4	A5	amiga_processed_processed_compiled_autosave	1	0	0	0.083	0.083	0.622	6.70975		0.083	5.390862876244229	22.684688502318885	0.5384177009683904	2.012228037672029	0.001660517894850222	0.0026782269417431337	0.4486926788745691	-0.016504434590119185	1.5448149996530538	2.2352150339832217	0.0	15.5	4.75	15.75	0.0	0.006895434344483034	FALSE
5	A6	amiga_processed_processed_compiled_autosave	1	0	0	0.078	0.078	0.084	1.32225		0.078	0.07251154095729381	0.9232247228050143	0.005193470085091315	0.06575508490271502	0.00036760749319106334	0.004422753316315975	0.03847774105598454	-0.001966746858300004	18.01423788240132	-0.03589660360035025	0.0	8.0	0.0	15.75	0.0	0.00608397020963884	FALSE
6	A7	amiga_processed_processed_compiled_autosave	1	0	0	0.083	0.083	0.9840000000000001	12.1095		0.083	10.793717558994832	31.83255183006709	0.8980288918689977	2.4688689297176043	0.00838634583110931	0.008592966631957744	0.7183755847154605	-0.032745180967388536	0.9648813173884413	1.218766796368625	0.0	15.0	3.0	15.75	0.0	0.0069837733569032764	FALSE
7	A8	amiga_processed_processed_compiled_autosave	1	0	0	0.083	0.083	1.022	11.6245		0.083	10.300131597645969	29.867070166396065	0.9399929496091219	2.511390460852185	0.006686517180273022	0.0065593744656711195	0.9998603883628899	-0.05081188114504588	0.6932439654848833	2.8595842952023025	0.0	15.5	4.5	15.75	1.0	0.006916251868456097	FALSE
8	A9	amiga_processed_processed_compiled_autosave	1	0	0	0.083	0.083	1.157	13.383		0.083	12.054755336001538	32.91048606898946	1.0739764834787908	2.6347247525589528	0.006979858011154638	0.006051114831292725	0.8671609738385893	-0.047131921635628675	0.7993293073276215	1.7416530487767412	0.0	15.5	3.5	15.75	0.0	0.00690214640398407	FALSE
9	A10	amiga_processed_processed_compiled_autosave	1	0	0	0.084	0.084	1.053	13.006499999999999		0.084	11.66386309483545	32.96111261654875	0.9630662450684907	2.522818336542146	0.005464438770153457	0.0052330639906212895	0.7410601435996252	-0.0376931618292599	0.9353453785721797	1.1196761793153889	0.0	15.5	3.25	15.75	0.0	0.007087412769908725	FALSE
10	A11	amiga_processed_processed_compiled_autosave	1	0	0	0.078	0.078	0.079	1.2485		0.078	-4.2333116331561005e-06	0.0031851551510550316	3.0013183728583304e-07	0.00020631068198400428	2.105739008162466e-06	2.699144909324214e-05	1.801285705020136e-06	-4.372141888812452e-06	384806.90688221325	-112.39950648684838	0.0	4.25	0.0	15.75	0.0	0.006081578046454728	TRUE
